"","kBET.expected","kBET.observed","kBET.signif"
"1",0.012,0.391,0
"2",0.0153333333333333,0.358,0
"3",0.013,0.396,0
"4",0.015,0.371,0
"5",0.013,0.377,0
"6",0.0156666666666667,0.401,0
"7",0.0146666666666667,0.375,0
"8",0.0156666666666667,0.379,0
"9",0.0166666666666667,0.374,0
"10",0.0136666666666667,0.385,0
"11",0.016,0.369,0
"12",0.0156666666666667,0.37,0
"13",0.0113333333333333,0.362,0
"14",0.0116666666666667,0.405,0
"15",0.0146666666666667,0.384,0
"16",0.012,0.38,0
"17",0.0163333333333333,0.396,0
"18",0.0176666666666667,0.389,0
"19",0.0123333333333333,0.395,0
"20",0.0156666666666667,0.366,0
"21",0.0126666666666667,0.385,0
"22",0.016,0.386,0
"23",0.0113333333333333,0.403,0
"24",0.012,0.379,0
"25",0.0133333333333333,0.386,0
"26",0.0136666666666667,0.4,0
"27",0.0136666666666667,0.375,0
"28",0.012,0.37,0
"29",0.0156666666666667,0.369,0
"30",0.0136666666666667,0.394,0
"31",0.0146666666666667,0.383,0
"32",0.0123333333333333,0.375,0
"33",0.014,0.381,0
"34",0.013,0.376,0
"35",0.0123333333333333,0.387,0
"36",0.0123333333333333,0.377,0
"37",0.0146666666666667,0.382,0
"38",0.0136666666666667,0.359,0
"39",0.0156666666666667,0.362,0
"40",0.016,0.381,0
"41",0.0146666666666667,0.386,0
"42",0.013,0.376,0
"43",0.0133333333333333,0.381,0
"44",0.012,0.384,0
"45",0.0153333333333333,0.384,0
"46",0.0153333333333333,0.384,0
"47",0.0133333333333333,0.383,0
"48",0.0136666666666667,0.395,0
"49",0.0143333333333333,0.392,0
"50",0.0126666666666667,0.402,0
