"","kBET.expected","kBET.observed","kBET.signif"
"1",0.007,0.919,0
"2",0.008,0.919,0
"3",0.00733333333333333,0.927,0
"4",0.00833333333333333,0.927,0
"5",0.00866666666666667,0.929,0
"6",0.00833333333333333,0.925,0
"7",0.00766666666666667,0.928,0
"8",0.00733333333333333,0.926,0
"9",0.00733333333333333,0.928,0
"10",0.00866666666666667,0.925,0
"11",0.00833333333333333,0.924,0
"12",0.00633333333333333,0.919,0
"13",0.009,0.932,0
"14",0.008,0.918,0
"15",0.00733333333333333,0.927,0
"16",0.00666666666666667,0.925,0
"17",0.008,0.915,0
"18",0.01,0.925,0
"19",0.00666666666666667,0.919,0
"20",0.00866666666666667,0.924,0
"21",0.00733333333333333,0.925,0
"22",0.007,0.921,0
"23",0.007,0.921,0
"24",0.00966666666666667,0.931,0
"25",0.007,0.92,0
"26",0.00966666666666667,0.922,0
"27",0.00666666666666667,0.929,0
"28",0.006,0.923,0
"29",0.00733333333333333,0.933,0
"30",0.009,0.915,0
"31",0.01,0.915,0
"32",0.00866666666666667,0.92,0
"33",0.00633333333333333,0.918,0
"34",0.00733333333333333,0.928,0
"35",0.007,0.924,0
"36",0.00833333333333333,0.928,0
"37",0.00766666666666667,0.918,0
"38",0.00833333333333333,0.92,0
"39",0.008,0.919,0
"40",0.00566666666666667,0.931,0
"41",0.009,0.912,0
"42",0.008,0.925,0
"43",0.006,0.93,0
"44",0.009,0.929,0
"45",0.008,0.928,0
"46",0.007,0.932,0
"47",0.009,0.935,0
"48",0.008,0.919,0
"49",0.00666666666666667,0.924,0
"50",0.00766666666666667,0.936,0
