"","kBET.expected","kBET.observed","kBET.signif"
"1",0.0666666666666667,0.727,0
"2",0.067,0.714,0
"3",0.062,0.714,0
"4",0.0603333333333333,0.712,0
"5",0.0653333333333333,0.728,0
"6",0.0636666666666667,0.736,0
"7",0.0616666666666667,0.721,0
"8",0.068,0.724,0
"9",0.0643333333333333,0.724,0
"10",0.068,0.724,0
"11",0.0653333333333333,0.723,0
"12",0.062,0.725,0
"13",0.0653333333333333,0.723,0
"14",0.065,0.715,0
"15",0.0633333333333333,0.717,0
"16",0.067,0.721,0
"17",0.0626666666666667,0.737,0
"18",0.0663333333333333,0.708,0
"19",0.065,0.709,0
"20",0.0666666666666667,0.722,0
"21",0.0643333333333333,0.723,0
"22",0.0643333333333333,0.701,0
"23",0.0706666666666667,0.729,0
"24",0.0646666666666667,0.719,0
"25",0.0666666666666667,0.731,0
"26",0.0673333333333333,0.732,0
"27",0.0663333333333333,0.721,0
"28",0.066,0.709,0
"29",0.0663333333333333,0.741,0
"30",0.0626666666666667,0.713,0
"31",0.0663333333333333,0.732,0
"32",0.0666666666666667,0.726,0
"33",0.0666666666666667,0.708,0
"34",0.06,0.717,0
"35",0.0626666666666667,0.722,0
"36",0.0683333333333333,0.707,0
"37",0.0676666666666667,0.721,0
"38",0.0646666666666667,0.704,0
"39",0.0646666666666667,0.715,0
"40",0.0623333333333333,0.725,0
"41",0.0643333333333333,0.739,0
"42",0.0626666666666667,0.699,0
"43",0.0656666666666667,0.716,0
"44",0.0646666666666667,0.718,0
"45",0.0633333333333333,0.722,0
"46",0.063,0.719,0
"47",0.062,0.715,0
"48",0.0643333333333333,0.722,0
"49",0.063,0.727,0
"50",0.0626666666666667,0.711,0
