"","kBET.expected","kBET.observed","kBET.signif"
"1",0.00833333333333333,0.657,0
"2",0.00966666666666667,0.669,0
"3",0.008,0.666,0
"4",0.01,0.676,0
"5",0.009,0.659,0
"6",0.009,0.655,0
"7",0.0103333333333333,0.659,0
"8",0.00866666666666667,0.649,0
"9",0.00866666666666667,0.659,0
"10",0.00666666666666667,0.668,0
"11",0.01,0.652,0
"12",0.008,0.673,0
"13",0.009,0.664,0
"14",0.00766666666666667,0.666,0
"15",0.0103333333333333,0.678,0
"16",0.0116666666666667,0.665,0
"17",0.00766666666666667,0.654,0
"18",0.009,0.65,0
"19",0.0103333333333333,0.673,0
"20",0.00766666666666667,0.669,0
"21",0.00766666666666667,0.672,0
"22",0.00933333333333333,0.67,0
"23",0.00866666666666667,0.662,0
"24",0.01,0.671,0
"25",0.00966666666666667,0.668,0
"26",0.00933333333333333,0.665,0
"27",0.01,0.67,0
"28",0.00833333333333333,0.67,0
"29",0.01,0.673,0
"30",0.00966666666666667,0.68,0
"31",0.0103333333333333,0.678,0
"32",0.00866666666666667,0.661,0
"33",0.011,0.671,0
"34",0.00933333333333333,0.658,0
"35",0.00833333333333333,0.648,0
"36",0.0113333333333333,0.674,0
"37",0.00933333333333333,0.662,0
"38",0.00933333333333333,0.676,0
"39",0.00966666666666667,0.662,0
"40",0.01,0.661,0
"41",0.011,0.664,0
"42",0.011,0.66,0
"43",0.00766666666666667,0.664,0
"44",0.00833333333333333,0.652,0
"45",0.009,0.659,0
"46",0.00966666666666667,0.683,0
"47",0.00966666666666667,0.67,0
"48",0.0123333333333333,0.663,0
"49",0.009,0.637,0
"50",0.0106666666666667,0.64,0
