"","kBET.expected","kBET.observed","kBET.signif"
"1",0.004,0.751,0
"2",0.00333333333333333,0.747,0
"3",0.003,0.746,0
"4",0.00266666666666667,0.746,0
"5",0.003,0.743,0
"6",0.004,0.759,0
"7",0.00333333333333333,0.744,0
"8",0.00266666666666667,0.755,0
"9",0.00366666666666667,0.746,0
"10",0.003,0.761,0
"11",0.003,0.747,0
"12",0.00333333333333333,0.744,0
"13",0.00466666666666667,0.746,0
"14",0.00333333333333333,0.747,0
"15",0.003,0.746,0
"16",0.003,0.744,0
"17",0.00366666666666667,0.735,0
"18",0.00366666666666667,0.738,0
"19",0.002,0.768,0
"20",0.00233333333333333,0.744,0
"21",0.00266666666666667,0.751,0
"22",0.00266666666666667,0.747,0
"23",0.00433333333333333,0.765,0
"24",0.00233333333333333,0.749,0
"25",0.002,0.744,0
"26",0.00366666666666667,0.751,0
"27",0.003,0.749,0
"28",0.004,0.747,0
"29",0.00333333333333333,0.75,0
"30",0.00233333333333333,0.762,0
"31",0.003,0.75,0
"32",0.004,0.745,0
"33",0.004,0.742,0
"34",0.00366666666666667,0.749,0
"35",0.004,0.759,0
"36",0.00333333333333333,0.751,0
"37",0.00366666666666667,0.761,0
"38",0.00333333333333333,0.743,0
"39",0.00333333333333333,0.761,0
"40",0.004,0.747,0
"41",0.00233333333333333,0.754,0
"42",0.00266666666666667,0.759,0
"43",0.00266666666666667,0.751,0
"44",0.00433333333333333,0.76,0
"45",0.003,0.747,0
"46",0.00433333333333333,0.771,0
"47",0.00266666666666667,0.732,0
"48",0.002,0.772,0
"49",0.003,0.777,0
"50",0.00166666666666667,0.744,0
