"","kBET.expected","kBET.observed","kBET.signif"
"1",0.0133333333333333,0.986,0
"2",0.013,0.99,0
"3",0.0106666666666667,0.992,0
"4",0.013,0.984,0
"5",0.012,0.984,0
"6",0.0116666666666667,0.987,0
"7",0.009,0.991,0
"8",0.0126666666666667,0.986,0
"9",0.014,0.987,0
"10",0.0113333333333333,0.989,0
"11",0.0113333333333333,0.992,0
"12",0.0143333333333333,0.986,0
"13",0.0116666666666667,0.991,0
"14",0.0106666666666667,0.989,0
"15",0.0113333333333333,0.985,0
"16",0.0123333333333333,0.988,0
"17",0.0126666666666667,0.993,0
"18",0.0123333333333333,0.987,0
"19",0.0123333333333333,0.984,0
"20",0.013,0.993,0
"21",0.0116666666666667,0.989,0
"22",0.0123333333333333,0.986,0
"23",0.012,0.986,0
"24",0.0113333333333333,0.986,0
"25",0.0143333333333333,0.986,0
"26",0.012,0.989,0
"27",0.0116666666666667,0.986,0
"28",0.0113333333333333,0.987,0
"29",0.0116666666666667,0.987,0
"30",0.0103333333333333,0.988,0
"31",0.0116666666666667,0.99,0
"32",0.0126666666666667,0.993,0
"33",0.0116666666666667,0.986,0
"34",0.012,0.991,0
"35",0.0133333333333333,0.988,0
"36",0.0143333333333333,0.987,0
"37",0.01,0.99,0
"38",0.0116666666666667,0.986,0
"39",0.01,0.992,0
"40",0.014,0.983,0
"41",0.012,0.991,0
"42",0.0123333333333333,0.99,0
"43",0.0126666666666667,0.99,0
"44",0.0113333333333333,0.991,0
"45",0.0113333333333333,0.99,0
"46",0.014,0.991,0
"47",0.0123333333333333,0.989,0
"48",0.0136666666666667,0.987,0
"49",0.0126666666666667,0.985,0
"50",0.012,0.988,0
