"","kBET.expected","kBET.observed","kBET.signif"
"1",0.00433333333333333,0.778,0
"2",0.00333333333333333,0.761,0
"3",0.004,0.78,0
"4",0.00466666666666667,0.764,0
"5",0.004,0.786,0
"6",0.005,0.763,0
"7",0.006,0.768,0
"8",0.00466666666666667,0.768,0
"9",0.004,0.761,0
"10",0.004,0.771,0
"11",0.003,0.771,0
"12",0.00433333333333333,0.775,0
"13",0.005,0.765,0
"14",0.00466666666666667,0.761,0
"15",0.005,0.771,0
"16",0.00533333333333333,0.768,0
"17",0.00366666666666667,0.762,0
"18",0.004,0.77,0
"19",0.00433333333333333,0.76,0
"20",0.00266666666666667,0.767,0
"21",0.006,0.77,0
"22",0.00333333333333333,0.763,0
"23",0.004,0.782,0
"24",0.00333333333333333,0.783,0
"25",0.00566666666666667,0.78,0
"26",0.00466666666666667,0.783,0
"27",0.00466666666666667,0.773,0
"28",0.004,0.765,0
"29",0.00433333333333333,0.774,0
"30",0.003,0.778,0
"31",0.004,0.764,0
"32",0.004,0.784,0
"33",0.00433333333333333,0.79,0
"34",0.004,0.764,0
"35",0.00466666666666667,0.769,0
"36",0.00366666666666667,0.798,0
"37",0.00433333333333333,0.773,0
"38",0.00466666666666667,0.767,0
"39",0.004,0.772,0
"40",0.00233333333333333,0.774,0
"41",0.00466666666666667,0.763,0
"42",0.004,0.768,0
"43",0.00366666666666667,0.772,0
"44",0.005,0.774,0
"45",0.00166666666666667,0.759,0
"46",0.004,0.774,0
"47",0.004,0.774,0
"48",0.00333333333333333,0.785,0
"49",0.004,0.778,0
"50",0.00333333333333333,0.775,0
