"","kBET.expected","kBET.observed","kBET.signif"
"1",0.0413333333333333,0.807,0
"2",0.0433333333333333,0.805,0
"3",0.0426666666666667,0.797,0
"4",0.0423333333333333,0.805,0
"5",0.041,0.787,0
"6",0.0386666666666667,0.804,0
"7",0.0446666666666667,0.801,0
"8",0.046,0.794,0
"9",0.0436666666666667,0.789,0
"10",0.0413333333333333,0.793,0
"11",0.043,0.805,0
"12",0.0436666666666667,0.795,0
"13",0.0446666666666667,0.802,0
"14",0.04,0.799,0
"15",0.038,0.791,0
"16",0.0383333333333333,0.81,0
"17",0.0396666666666667,0.791,0
"18",0.043,0.824,0
"19",0.0436666666666667,0.785,0
"20",0.0433333333333333,0.784,0
"21",0.041,0.796,0
"22",0.0433333333333333,0.79,0
"23",0.046,0.805,0
"24",0.043,0.795,0
"25",0.0416666666666667,0.788,0
"26",0.0416666666666667,0.796,0
"27",0.0453333333333333,0.807,0
"28",0.042,0.79,0
"29",0.0426666666666667,0.795,0
"30",0.045,0.797,0
"31",0.0423333333333333,0.792,0
"32",0.0436666666666667,0.802,0
"33",0.0443333333333333,0.786,0
"34",0.0403333333333333,0.793,0
"35",0.043,0.794,0
"36",0.0426666666666667,0.787,0
"37",0.0433333333333333,0.784,0
"38",0.043,0.811,0
"39",0.0413333333333333,0.784,0
"40",0.038,0.801,0
"41",0.0423333333333333,0.79,0
"42",0.0403333333333333,0.811,0
"43",0.0393333333333333,0.792,0
"44",0.041,0.785,0
"45",0.0436666666666667,0.784,0
"46",0.0443333333333333,0.793,0
"47",0.039,0.801,0
"48",0.0446666666666667,0.808,0
"49",0.0436666666666667,0.8,0
"50",0.0426666666666667,0.797,0
