"","kBET.expected","kBET.observed","kBET.signif"
"1",0.033,0.775,0
"2",0.0303333333333333,0.766,0
"3",0.0306666666666667,0.749,0
"4",0.0283333333333333,0.748,0
"5",0.0296666666666667,0.742,0
"6",0.0286666666666667,0.751,0
"7",0.0276666666666667,0.754,0
"8",0.0266666666666667,0.765,0
"9",0.0286666666666667,0.743,0
"10",0.0306666666666667,0.76,0
"11",0.0303333333333333,0.751,0
"12",0.027,0.745,0
"13",0.0276666666666667,0.778,0
"14",0.0293333333333333,0.761,0
"15",0.0283333333333333,0.741,0
"16",0.0276666666666667,0.759,0
"17",0.0293333333333333,0.761,0
"18",0.0293333333333333,0.76,0
"19",0.028,0.755,0
"20",0.0256666666666667,0.752,0
"21",0.03,0.742,0
"22",0.027,0.743,0
"23",0.0293333333333333,0.746,0
"24",0.0286666666666667,0.759,0
"25",0.0266666666666667,0.756,0
"26",0.0316666666666667,0.748,0
"27",0.031,0.77,0
"28",0.028,0.76,0
"29",0.03,0.759,0
"30",0.029,0.748,0
"31",0.0293333333333333,0.736,0
"32",0.0303333333333333,0.753,0
"33",0.029,0.755,0
"34",0.03,0.754,0
"35",0.0316666666666667,0.757,0
"36",0.031,0.763,0
"37",0.0263333333333333,0.761,0
"38",0.032,0.743,0
"39",0.026,0.759,0
"40",0.0293333333333333,0.766,0
"41",0.0316666666666667,0.775,0
"42",0.029,0.749,0
"43",0.0306666666666667,0.75,0
"44",0.0273333333333333,0.753,0
"45",0.0313333333333333,0.78,0
"46",0.028,0.742,0
"47",0.032,0.748,0
"48",0.0306666666666667,0.761,0
"49",0.0333333333333333,0.765,0
"50",0.0303333333333333,0.74,0
